mid,runs,wickets,overs,runs_last_5,wickets_last_5,total
1,1,0,0.1,1,0,222
1,1,0,0.2,1,0,222
1,2,0,0.2,2,0,222
1,2,0,0.3,2,0,222
1,2,0,0.4,2,0,222
1,2,0,0.5,2,0,222
1,3,0,0.6,3,0,222
1,3,0,1.1,3,0,222
1,7,0,1.2,7,0,222
1,11,0,1.3,11,0,222
1,17,0,1.4,17,0,222
1,21,0,1.5,21,0,222
1,21,0,1.6,21,0,222
1,21,0,2.1,21,0,222
1,21,0,2.2,21,0,222
1,22,0,2.3,22,0,222
1,26,0,2.4,26,0,222
1,27,0,2.5,27,0,222
1,27,0,2.6,27,0,222
1,32,0,3,32,0,222
1,38,0,3.1,38,0,222
1,39,0,3.2,39,0,222
1,43,0,3.3,43,0,222
1,43,0,3.4,43,0,222
1,44,0,3.5,44,0,222
1,50,0,3.6,50,0,222
1,54,0,4.1,54,0,222
1,55,0,4.2,55,0,222
1,59,0,4.3,59,0,222
1,59,0,4.4,59,0,222
1,60,0,4.5,59,0,222
1,60,0,4.6,59,0,222
1,61,0,5.1,59,0,222
1,61,1,5.2,59,1,222
1,61,1,5.3,59,1,222
1,61,1,5.4,59,1,222
1,61,1,5.5,58,1,222
1,61,1,5.6,58,1,222
1,62,1,6.1,55,1,222
1,63,1,6.2,52,1,222
1,64,1,6.3,47,1,222
1,66,1,6.4,45,1,222
1,67,1,6.5,46,1,222
1,68,1,6.6,47,1,222
1,68,1,7.1,47,1,222
1,69,1,7.2,47,1,222
1,70,1,7.3,44,1,222
1,71,1,7.4,44,1,222
1,72,1,7.5,45,1,222
1,73,1,7.6,41,1,222
1,73,1,8.1,35,1,222
1,73,1,8.2,34,1,222
1,73,1,8.3,30,1,222
1,74,1,8.4,31,1,222
1,75,1,8.5,31,1,222
1,77,1,8.6,27,1,222
1,78,1,9.1,24,1,222
1,79,1,9.2,24,1,222
1,80,1,9.3,21,1,222
1,80,1,9.4,21,1,222
1,86,1,9.5,26,1,222
1,87,1,9.6,27,1,222
1,88,1,10.1,27,1,222
1,92,1,10.2,31,0,222
1,92,1,10.3,31,0,222
1,98,1,10.4,37,0,222
1,98,1,10.5,37,0,222
1,102,1,10.6,41,0,222
1,102,1,11.1,40,0,222
1,108,1,11.2,45,0,222
1,110,1,11.3,46,0,222
1,111,1,11.4,45,0,222
1,111,1,11.5,44,0,222
1,112,1,11.6,44,0,222
1,112,2,12.1,44,1,222
1,116,2,12.2,47,1,222
1,116,2,12.3,46,1,222
1,118,2,12.4,47,1,222
1,119,2,12.4,47,1,222
1,123,2,12.5,50,1,222
1,124,2,12.6,51,1,222
1,125,2,13.1,52,1,222
1,125,2,13.2,52,1,222
1,126,2,13.3,52,1,222
1,127,2,13.4,52,1,222
1,128,2,13.5,51,1,222
1,130,2,13.6,52,1,222
1,134,2,14.1,55,1,222
1,135,2,14.2,55,1,222
1,141,2,14.3,61,1,222
1,145,2,14.4,59,1,222
1,147,2,14.4,60,1,222
1,148,2,14.5,60,1,222
1,154,2,14.6,62,1,222
1,154,2,15.1,62,1,222
1,155,2,15.2,57,1,222
1,157,2,15.3,59,1,222
1,157,2,15.4,55,1,222
1,158,2,15.5,56,1,222
1,158,2,15.6,50,1,222
1,159,2,16.1,49,1,222
1,161,2,16.2,50,1,222
1,162,2,16.3,51,1,222
1,168,2,16.4,56,1,222
1,170,2,16.5,58,0,222
1,172,2,16.6,56,0,222
1,172,3,17.1,56,1,222
1,173,3,17.2,55,1,222
1,173,3,17.3,54,1,222
1,174,3,17.4,51,1,222
1,178,3,17.5,54,1,222
1,179,3,17.6,54,1,222
1,185,3,18.1,60,1,222
1,185,3,18.2,59,1,222
1,191,3,18.3,64,1,222
1,195,3,18.4,67,1,222
1,196,3,18.5,66,1,222
1,200,3,18.6,66,1,222
1,206,3,19.1,71,1,222
1,212,3,19.2,71,1,222
1,214,3,19.3,69,1,222
1,214,3,19.4,67,1,222
1,216,3,19.5,68,1,222
1,222,3,19.6,68,1,222
2,0,0,0.1,0,0,240
2,0,0,0.2,0,0,240
2,1,0,0.3,1,0,240
2,1,0,0.4,1,0,240
2,5,0,0.5,5,0,240
2,5,0,0.6,5,0,240
2,9,0,1.1,9,0,240
2,13,0,1.2,13,0,240
2,17,0,1.3,17,0,240
2,19,0,1.4,19,0,240
2,20,0,1.4,20,0,240
2,20,0,1.5,20,0,240
2,20,0,1.6,20,0,240
2,20,0,2.1,20,0,240
2,25,0,2.1,25,0,240
2,25,0,2.2,25,0,240
2,26,0,2.3,26,0,240
2,26,1,2.4,26,1,240
2,27,1,2.5,27,1,240
2,27,1,2.6,27,1,240
2,27,1,3.1,27,1,240
2,27,1,3.2,27,1,240
2,28,1,3.3,28,1,240
2,29,1,3.4,29,1,240
2,29,1,3.5,29,1,240
2,33,1,3.6,33,1,240
2,33,1,4.1,33,1,240
2,34,1,4.2,34,1,240
2,38,1,4.3,38,1,240
2,42,1,4.4,42,1,240
2,42,1,4.5,42,1,240
2,42,1,4.6,42,1,240
2,46,1,5.1,45,1,240
2,52,1,5.2,51,1,240
2,52,1,5.3,47,1,240
2,53,1,5.4,48,1,240
2,53,1,5.5,44,1,240
2,53,1,5.6,40,1,240
2,57,1,6.1,40,1,240
2,57,2,6.2,38,2,240
2,58,2,6.3,38,2,240
2,60,2,6.4,40,2,240
2,61,2,6.5,41,2,240
2,62,2,6.6,42,2,240
2,62,3,7.1,37,3,240
2,63,3,7.2,38,3,240
2,63,3,7.3,37,3,240
2,64,3,7.4,38,2,240
2,70,3,7.5,43,2,240
2,70,3,7.6,43,2,240
2,71,3,8.1,44,2,240
2,75,3,8.2,48,2,240
2,76,3,8.3,48,2,240
2,76,3,8.4,47,2,240
2,82,3,8.5,53,2,240
2,83,3,8.6,50,2,240
2,85,3,9.1,52,2,240
2,86,3,9.2,52,2,240
2,87,3,9.3,49,2,240
2,87,3,9.4,45,2,240
2,87,3,9.5,45,2,240
2,88,3,9.6,46,2,240
2,94,3,10.1,48,2,240
2,95,3,10.2,43,2,240
2,97,3,10.3,45,2,240
2,97,3,10.4,44,2,240
2,103,3,10.5,50,2,240
2,107,3,10.6,54,2,240
2,113,3,11.1,56,2,240
2,117,3,11.2,60,1,240
2,118,3,11.3,60,1,240
2,124,3,11.4,64,1,240
2,125,3,11.5,64,1,240
2,127,3,11.6,65,1,240
2,128,3,12,66,0,240
2,128,4,12.1,65,1,240
2,129,4,12.2,66,1,240
2,130,4,12.2,66,1,240
2,130,4,12.3,60,1,240
2,131,4,12.4,61,1,240
2,132,4,12.5,61,1,240
2,133,4,12.6,58,1,240
2,134,4,13.1,58,1,240
2,134,4,13.2,58,1,240
2,135,4,13.3,53,1,240
2,136,4,13.4,53,1,240
2,142,4,13.5,57,1,240
2,143,4,13.6,57,1,240
2,147,4,14.1,60,1,240
2,148,4,14.2,61,1,240
2,150,4,14.3,63,1,240
2,151,4,14.4,63,1,240
2,155,4,14.5,61,1,240
2,161,4,14.6,66,1,240
2,167,4,15.1,70,1,240
2,167,4,15.2,70,1,240
2,167,5,15.3,64,2,240
2,167,5,15.4,60,2,240
2,168,5,15.5,55,2,240
2,169,5,15.6,52,2,240
2,170,5,16.1,52,2,240
2,171,5,16.2,47,2,240
2,177,5,16.3,52,2,240
2,181,5,16.4,54,2,240
2,182,5,16.5,54,2,240
2,183,5,16.6,55,1,240
2,183,5,17.1,54,1,240
2,187,5,17.2,57,1,240
2,188,5,17.3,58,1,240
2,190,5,17.4,59,1,240
2,196,5,17.5,64,1,240
2,200,5,17.6,67,1,240
2,204,5,18.1,70,1,240
2,205,5,18.2,71,1,240
2,206,5,18.3,71,1,240
2,207,5,18.4,71,1,240
2,213,5,18.5,71,1,240
2,215,5,18.6,72,1,240
2,221,5,19.1,74,1,240
2,227,5,19.2,79,1,240
2,231,5,19.3,81,1,240
2,232,5,19.4,81,1,240
2,238,5,19.5,83,1,240
2,240,5,19.6,79,1,240
3,0,0,0.1,0,0,129
